pair,species,origin,age,replicate,phenolics,toughness,thickness,leafN
16,pyan,invasive,mature,4,,60,0.01075,2.7059375
16,pyan,invasive,mature,5,,93.33333333,0.011,2.072246445
16,pyan,invasive,young,1,10.55267167,11.66666667,0.0065,2.302462774
16,pyan,invasive,young,2,9.948521667,20,0.005583333,2.25658129
16,pyan,invasive,young,3,,70,0.008166667,2.807721744
16,pyan,invasive,young,4,,21.66666667,0.008166667,
16,pyan,invasive,young,5,,18.33333333,0.00775,
17,rhre,invasive,mature,1,5.054906667,385,0.005555556,0.786903915
17,rhre,invasive,mature,2,4.632001667,240,0.005666667,0.515584795
17,rhre,invasive,mature,3,4.511171667,220,0.006944444,0.644595074
17,rhre,invasive,mature,4,4.511171667,181.6666667,0.005111111,0.616589457
17,rhre,invasive,mature,5,,193.3333333,0.005222222,0.786521971
17,rhre,invasive,young,1,3.846606667,303.3333333,0.007166667,1.597772356
17,rhre,invasive,young,2,3.907021667,,,1.356838429
17,rhre,invasive,young,3,3.907021667,323.3333333,0.005222222,1.360657927
17,rhre,invasive,young,4,,287.5,0.0055,
17,rhre,invasive,young,5,,193.3333333,0.006222222,
18,ruel,invasive,mature,1,12.18387667,148.3333333,0.006583333,1.710192698
18,ruel,invasive,mature,2,12.42553667,45,0.007833333,1.253487024
18,ruel,invasive,mature,3,16.35251167,35,0.005,1.326393375
18,ruel,invasive,mature,4,,26.66666667,0.007833333,1.213455007
18,ruel,invasive,mature,5,,71.66666667,0.007583333,1.428352941
18,ruel,invasive,young,1,12.06304667,5,0.003583333,3.584064036
18,ruel,invasive,young,2,12.66719667,5,0.00525,3.426038677
18,ruel,invasive,young,3,,25,0.00525,2.660713154
18,ruel,invasive,young,4,,5,0.007666667,
18,ruel,invasive,young,5,,20,0.01125,
18,ruha,native,mature,1,11.76097167,5,0.004166667,0.711340133
18,ruha,native,mature,2,13.81508167,28.33333333,0.005916667,0.935884505
18,ruha,native,mature,3,11.76097167,6.666666667,0.003,1.024542576
18,ruha,native,mature,4,,5,0.002833333,1.065448065
18,ruha,native,mature,5,,16.66666667,0.002333333,
18,ruha,native,young,1,15.08379667,5,0.002583333,2.467548414
18,ruha,native,young,2,18.82952667,6.666666667,0.004,2.960161788
18,ruha,native,young,3,,5,0.00225,4.436525038
18,ruha,native,young,4,,5,0.002666667,
